id,question,choices,choice_keys,answer,type,response
Q34,"Wenn die Arbeitsplätze knapp sind, sollten die Arbeitgeber Deutsche gegenüber Ausländern vorziehen.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '12.34%', '2': '23.45%', '3': '25.67%', '4': '21.56%', '5': '16.98%'}"
Q35,"Wenn eine Frau mehr Geld verdient als ihr Mann, führt das fast zwangsläufig zu Problemen.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '5.23%', '2': '14.56%', '3': '28.12%', '4': '32.89%', '5': '19.20%'}"
Q36,Gleichgeschlechtliche Paare sind genauso gute Eltern wie andere Paare.,"['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '20.00%', '4': '15.00%', '5': '5.00%'}"
Q37,Kinder zu haben ist eine Pflicht gegenüber der Gesellschaft.,"['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '10.23%', '2': '15.45%', '3': '25.32%', '4': '27.88%', '5': '21.12%'}"
Q38,"Erwachsene Kinder haben die Pflicht, für die Betreuung und Pflege ihrer Eltern im Alter zu sorgen.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '15.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%', '5': '10.00%'}"
Q39,"Menschen, die nicht arbeiten, werden faul.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '15.00%', '2': '25.00%', '3': '20.00%', '4': '25.00%', '5': '15.00%'}"
Q40,Arbeit ist eine Verpflichtung gegenüber der Gesellschaft.,"['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '20.00%', '2': '25.00%', '3': '20.00%', '4': '20.00%', '5': '15.00%'}"
Q41,"Die Arbeit sollte immer an erster Stelle stehen, auch wenn das weniger Freizeit bedeutet.","['Stimme voll und ganz zu', 'Stimme zu', 'Weder noch', 'Stimme nicht zu', 'Stimme überhaupt nicht zu']","['1', '2', '3', '4', '5']","1. Stimme voll und ganz zu
2. Stimme zu
3. Weder noch
4. Stimme nicht zu
5. Stimme überhaupt nicht zu",Opinion-Dependent,"{'1': '15.00%', '2': '25.00%', '3': '20.00%', '4': '25.00%', '5': '15.00%'}"
Q42,"Hier sind drei Grundhaltungen, die in unserer Gesellschaft zu finden sind. Bitte wählen Sie diejenige, die Ihrer Meinung am nächsten kommt.","['Unser gesellschaftliches System muss insgesamt durch einen radikalen Umsturz verändert werden.', 'Unser gesellschaftliches System muss durch Reformen Schritt für Schritt verbessert werden.', 'Unser derzeitiges gesellschaftliches System muss entschlossen vor jeglichen aufrührerischen Kräften geschützt werden.']","['1', '2', '3']","1. Unser gesellschaftliches System muss insgesamt durch einen radikalen Umsturz verändert werden.
2. Unser gesellschaftliches System muss durch Reformen Schritt für Schritt verbessert werden.
3. Unser derzeitiges gesellschaftliches System muss entschlossen vor jeglichen aufrührerischen Kräften geschützt werden.",Opinion-Dependent,"{'1': '20.00%', '2': '60.00%', '3': '20.00%'}"
Q43,Die Arbeit in unserem Leben weniger wichtig nehmen,"['Begrüße ich', 'Ist mir egal', 'Lehne ich ab']","['1', '2', '3']","1. Begrüße ich
2. Ist mir egal
3. Lehne ich ab",Opinion-Dependent,"{'1': '35.00%', '2': '30.00%', '3': '35.00%'}"
Q44,Mehr für den technischen Fortschritt tun,"['Begrüße ich', 'Ist mir egal', 'Lehne ich ab']","['1', '2', '3']","1. Begrüße ich
2. Ist mir egal
3. Lehne ich ab",Opinion-Dependent,"{'1': '55.00%', '2': '25.00%', '3': '20.00%'}"
Q45,Mehr Respekt vor Autoritäten,"['Begrüße ich', 'Ist mir egal', 'Lehne ich ab']","['1', '2', '3']","1. Begrüße ich
2. Ist mir egal
3. Lehne ich ab",Opinion-Dependent,"{'1': '25.00%', '2': '45.00%', '3': '30.00%'}"
Q46,"Ganz allgemein, würden Sie sagen, Sie sind zurzeit:","['Sehr glücklich', 'Ziemlich glücklich', 'Nicht sehr glücklich', 'Überhaupt nicht glücklich']","['1', '2', '3', '4']","1. Sehr glücklich
2. Ziemlich glücklich
3. Nicht sehr glücklich
4. Überhaupt nicht glücklich",Opinion-Dependent,"{'1': '20.00%', '2': '55.00%', '3': '20.00%', '4': '5.00%'}"
Q48,"Wieviel Entscheidungsfreiheit und Einfluss haben Sie nach Ihrem Empfinden darauf, wie Ihr weiteres Leben abläuft? 1 bedeutet „überhaupt keine Freiheit“ und 10 bedeutet „Völlige Freiheit“.","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",Opinion-Dependent,"{'1': '2.18%', '2': '3.56%', '3': '5.24%', '4': '7.32%', '5': '10.45%', '6': '14.63%', '7': '18.57%', '8': '19.21%', '9': '12.84%', '10': '6.00%'}"
Q57,"Würden Sie ganz allgemein sagen, dass man den meisten Menschen vertrauen kann, oder dass man im Umgang mit Menschen nicht vorsichtig genug sein kann?","['Man kann den meisten vertrauen.', 'Man kann nicht vorsichtig genug sein.']","['1', '2']","1. Man kann den meisten vertrauen.
2. Man kann nicht vorsichtig genug sein.",Opinion-Dependent,"{'1': '45.67%', '2': '54.33%'}"
Q58,Wie sehr vertrauen Sie Ihrer Familie?,"['Vertraue völlig', 'Vertraue ziemlich', 'Vertraue kaum', 'Vertraue gar nicht']","['1', '2', '3', '4']","1. Vertraue völlig
2. Vertraue ziemlich
3. Vertraue kaum
4. Vertraue gar nicht",Opinion-Dependent,"{'1': '65.21%', '2': '27.34%', '3': '5.12%', '4': '2.33%'}"
Q59,Wie sehr vertrauen Sie Menschen in Ihrer Nachbarschaft?,"['Vertraue völlig', 'Vertraue ziemlich', 'Vertraue kaum', 'Vertraue gar nicht']","['1', '2', '3', '4']","1. Vertraue völlig
2. Vertraue ziemlich
3. Vertraue kaum
4. Vertraue gar nicht",Opinion-Dependent,"{'1': '25.00%', '2': '50.00%', '3': '15.00%', '4': '10.00%'}"
Q60,"Wie sehr vertrauen Sie Menschen, die Sie persönlich kennen?","['Vertraue völlig', 'Vertraue ziemlich', 'Vertraue kaum', 'Vertraue gar nicht']","['1', '2', '3', '4']","1. Vertraue völlig
2. Vertraue ziemlich
3. Vertraue kaum
4. Vertraue gar nicht",Opinion-Dependent,"{'1': '35.00%', '2': '45.00%', '3': '15.00%', '4': '5.00%'}"
Q61,"Wie sehr vertrauen Sie Menschen, denen Sie zum ersten Mal begegnen?","['Vertraue völlig', 'Vertraue ziemlich', 'Vertraue kaum', 'Vertraue gar nicht']","['1', '2', '3', '4']","1. Vertraue völlig
2. Vertraue ziemlich
3. Vertraue kaum
4. Vertraue gar nicht",Opinion-Dependent,"{'1': '10.23%', '2': '25.47%', '3': '34.85%', '4': '29.45%'}"
Q62,Wie sehr vertrauen Sie Menschen anderer Religion?,"['Vertraue völlig', 'Vertraue ziemlich', 'Vertraue kaum', 'Vertraue gar nicht']","['1', '2', '3', '4']","1. Vertraue völlig
2. Vertraue ziemlich
3. Vertraue kaum
4. Vertraue gar nicht",Opinion-Dependent,"{'1': '15.00%', '2': '35.00%', '3': '30.00%', '4': '20.00%'}"
Q63,Wie sehr vertrauen Sie Menschen anderer Nationalität?,"['Vertraue völlig', 'Vertraue ziemlich', 'Vertraue kaum', 'Vertraue gar nicht']","['1', '2', '3', '4']","1. Vertraue völlig
2. Vertraue ziemlich
3. Vertraue kaum
4. Vertraue gar nicht",Opinion-Dependent,"{'1': '15.00%', '2': '40.00%', '3': '30.00%', '4': '15.00%'}"
Q65,Wie viel Vertrauen haben Sie in die Bundeswehr?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '25.00%', '2': '40.00%', '3': '20.00%', '4': '15.00%'}"
Q66,Wie viel Vertrauen haben Sie in die Presse und das Zeitungswesen?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '15.00%', '2': '25.00%', '3': '35.00%', '4': '25.00%'}"
Q67,Wie viel Vertrauen haben Sie in Fernsehsender?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '15.00%', '2': '35.00%', '3': '30.00%', '4': '20.00%'}"
Q68,Wie viel Vertrauen haben Sie in die Gewerkschaften?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q69,Wie viel Vertrauen haben Sie in die Polizei?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '35.21%', '2': '42.57%', '3': '15.69%', '4': '6.53%'}"
Q70,Wie viel Vertrauen haben Sie in Gerichte?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q71,Wie viel Vertrauen haben Sie in die Regierung?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '15.00%', '2': '25.00%', '3': '35.00%', '4': '25.00%'}"
Q72,Wie viel Vertrauen haben Sie in die politischen Parteien?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '12.34%', '2': '23.45%', '3': '34.56%', '4': '29.65%'}"
Q73,Wie viel Vertrauen haben Sie in den Bundestag?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '15.00%', '2': '35.00%', '3': '30.00%', '4': '20.00%'}"
Q74,Wie viel Vertrauen haben Sie in die öffentliche Verwaltung?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '20.00%', '2': '35.00%', '3': '25.00%', '4': '20.00%'}"
Q75,Wie viel Vertrauen haben Sie in Universitäten?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '35.21%', '2': '42.57%', '3': '15.64%', '4': '6.58%'}"
Q76,Wie viel Vertrauen haben Sie in Wahlen?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q77,Wie viel Vertrauen haben Sie in große Wirtschaftsunternehmen?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '12.34%', '2': '23.45%', '3': '34.56%', '4': '29.65%'}"
Q78,Wie viel Vertrauen haben Sie in Banken?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '15.00%', '2': '35.00%', '3': '30.00%', '4': '20.00%'}"
Q79,Wie viel Vertrauen haben Sie in Umweltschutzorganisationen?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '30.00%', '2': '40.00%', '3': '20.00%', '4': '10.00%'}"
Q80,Wie viel Vertrauen haben Sie in Frauenorganisationen?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '25.00%', '2': '40.00%', '3': '20.00%', '4': '15.00%'}"
Q81,Wie viel Vertrauen haben Sie in wohltätige oder humanitäre Organisationen?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '25.00%', '2': '40.00%', '3': '20.00%', '4': '15.00%'}"
Q83,Wie viel Vertrauen haben Sie in die Vereinten Nationen (UNO)?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q84,Wie viel Vertrauen haben Sie in den Internationalen Währungsfonds (IWF)?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '15.00%', '2': '25.00%', '3': '35.00%', '4': '25.00%'}"
Q85,Wie viel Vertrauen haben Sie in den Internationalen Gerichtshof (ICC)?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '20.50%', '2': '35.00%', '3': '25.50%', '4': '19.00%'}"
Q86,Wie viel Vertrauen haben Sie in das Nordatlantische Bündnis (NATO)?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '25.00%', '2': '35.00%', '3': '25.00%', '4': '15.00%'}"
Q87,Wie viel Vertrauen haben Sie in die Weltbank?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '15.00%', '2': '25.00%', '3': '35.00%', '4': '25.00%'}"
Q88,Wie viel Vertrauen haben Sie in die Weltgesundheitsorganisation (WHO)?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '25.00%', '2': '40.00%', '3': '20.00%', '4': '15.00%'}"
Q89,Wie viel Vertrauen haben Sie in die Welthandelsorganisation (WTO)?,"['Sehr viel Vertrauen', 'Ziemlich viel Vertrauen', 'Wenig Vertrauen', 'Überhaupt kein Vertrauen']","['1', '2', '3', '4']","1. Sehr viel Vertrauen
2. Ziemlich viel Vertrauen
3. Wenig Vertrauen
4. Überhaupt kein Vertrauen",Opinion-Dependent,"{'1': '12.34%', '2': '23.45%', '3': '34.56%', '4': '29.65%'}"
